CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JC108284,01/07/2019 07:45:00 AM,012XX W JARVIS AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,N,N,2423,49,05,1166177,1949177,42.016123804,-87.663855871,"(42.016123804, -87.663855871)"
JC107008,01/06/2019 02:59:00 PM,011XX W JACKSON BLVD,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,Y,N,1232,25,06,1168933,1898798,41.877822179,-87.655181405,"(41.877822179, -87.655181405)"
JC112238,01/10/2019 08:45:00 PM,045XX S LAVERGNE AVE,0890,THEFT,FROM BUILDING,RESIDENCE,N,N,814,22,06,1143787,1874118,41.810604926,-87.748129424,"(41.810604926, -87.748129424)"
JC107951,01/07/2019 12:30:00 PM,054XX W RICE ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE PORCH/HALLWAY,N,N,1524,37,05,1139702,1905132,41.895787113,-87.762356622,"(41.895787113, -87.762356622)"
JC107726,01/05/2019 12:30:00 AM,009XX W ARGYLE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,2024,48,08B,1169215,1933609,41.973339203,-87.653132052,"(41.973339203, -87.653132052)"
JC105407,01/05/2019 07:00:00 AM,027XX W BELMONT AVE,0810,THEFT,OVER $500,STREET,N,N,1733,33,06,1157512,1921151,41.939400629,-87.696507136,"(41.939400629, -87.696507136)"
JC109308,01/08/2019 01:32:00 PM,022XX S KEELER AVE,1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,SIDEWALK,Y,N,1013,22,18,1148741,1888857,41.850956752,-87.72957847,"(41.850956752, -87.72957847)"
JC113598,01/11/2019 09:42:00 PM,041XX W JACKSON BLVD,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,Y,1132,28,26,1148842,1898365,41.877045902,-87.728962109,"(41.877045902, -87.728962109)"
JC111859,01/10/2019 03:49:00 PM,022XX W OGDEN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,1225,27,08B,1161557,1895086,41.867792844,-87.682367558,"(41.867792844, -87.682367558)"
JC111796,01/10/2019 02:30:00 PM,001XX W 111TH PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,522,34,08B,1177334,1831018,41.691640675,-87.626381549,"(41.691640675, -87.626381549)"
JC112427,01/11/2019 02:00:00 AM,004XX E PERSHING RD,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,STREET,N,N,214,3,11,1180000,1879223,41.823859988,-87.615147734,"(41.823859988, -87.615147734)"
JC116898,01/02/2019 09:00:00 AM,026XX W BIRCHWOOD AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,N,N,2411,50,26,1157484,1949647,42.017595609,-87.695830604,"(42.017595609, -87.695830604)"
JC107516,01/07/2019 04:18:00 AM,014XX N RIDGEWAY AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,SIDEWALK,Y,Y,2535,26,26,1151107,1909312,41.907041528,-87.720358485,"(41.907041528, -87.720358485)"
JC111277,01/10/2019 06:24:00 AM,0000X W 71ST ST,051A,ASSAULT,AGGRAVATED: HANDGUN,APARTMENT,N,Y,731,6,04A,1176970,1857910,41.765444001,-87.626906181,"(41.765444001, -87.626906181)"
JC108545,01/07/2019 08:05:00 PM,017XX N CENTRAL PARK AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,N,N,2535,26,14,1152102,1911533,41.913116587,-87.716644744,"(41.913116587, -87.716644744)"
JC105838,01/05/2019 03:10:00 PM,043XX W WEST END AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,1114,28,06,1147498,1900622,41.883265234,-87.733839042,"(41.883265234, -87.733839042)"
JC104675,01/04/2019 04:10:00 PM,005XX N PINE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,N,1523,37,08B,1139442,1902935,41.889763017,-87.763365161,"(41.889763017, -87.763365161)"
JC104307,01/04/2019 12:04:00 PM,091XX S SOUTH CHICAGO AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,423,7,06,1196833,1844857,41.729154867,-87.554536327,"(41.729154867, -87.554536327)"
