ZIPCODE,BLDGZIP,PO_NAME,POPULATION,AREA,STATE,COUNTY,ST_FIPS,CTY_FIPS,URL,SHAPE_AREA,SHAPE_LEN,Demographi,Demograp_1,Demograp_2,Demograp_3,Demograp_4,Demograp_5,Demograp_6,Demograp_7,Demograp_8,Demograp_9,Demograp10,Demograp11,Demograp12,Demograp13,Demograp14,Demograp15,Demograp16,Demograp17,Demograp18,Demograp19,Demograp20,Demograp21,Demograp22,Demograp23,Demograp24,Demograp25,Demograp26,Demograp27,Demograp28,Demograp29,Demograp30,Demograp31,Demograp32,Demograp33,Demograp34,Demograp35,Demograp36,Demograp37,Demograp38,Demograp39,Demograp40,Demograp41,Demograp42,Demograp43,Demograp44,N_dirty_co,N_light_co,N_assaults
10044,0,New York,11661.00000,6296113.26884,NY,New York,36,061,http://www.usps.com/,0.00000,0.00000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11369,0,East Elmhurst,38116.00000,30060493.24637,NY,Queens,36,081,http://www.usps.com/,0.00000,0.00000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,59,15
11103,0,Astoria,38234.00000,20222394.62553,NY,Queens,36,081,http://www.usps.com/,0.00000,0.00000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,27,6
11106,0,Astoria,38665.00000,23866112.72547,NY,Queens,36,081,http://www.usps.com/,0.00000,0.00000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,29,2
11368,0,Corona,109069.00000,72489663.28446,NY,Queens,36,081,http://www.usps.com/,0.00000,0.00000,5,4,0.8,1,0.2,0,0,5,100,0,0,3,0.6,0,0,1,0.2,1,0.2,0,0,0,0,0,0,5,100,1,0.2,4,0.8,0,0,0,0,5,100,0,0,5,1,0,0,5,100,22,32,31
11377,0,Woodside,90852.00000,71832387.49448,NY,Queens,36,081,http://www.usps.com/,0.00000,0.00000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,64,14
11355,0,Flushing,82809.00000,49383079.08394,NY,Queens,36,081,http://www.usps.com/,0.00000,0.00000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,22,17
11101,0,Long Island City,26254.00000,78962088.74176,NY,Queens,36,081,http://www.usps.com/,0.00000,0.00000,1,0,0,1,1,0,0,1,100,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,100,0,0,1,1,0,0,0,0,1,100,0,0,1,1,0,0,1,100,15,56,13
11364,0,Oakland Gardens,33937.00000,84259665.05296,NY,Queens,36,081,http://www.usps.com/,0.00000,0.00000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,39,3
10018,0,New York,5503.00000,10705796.47917,NY,New York,36,061,http://www.usps.com/,0.00000,0.00000,3,2,0.67,1,0.33,0,0,3,100,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,3,100,1,0.33,2,0.67,0,0,0,0,3,100,0,0,3,1,0,0,3,100,8,0,11
10020,0,New York,0.00000,697297.02240,NY,New York,36,061,http://www.usps.com/,0.00000,0.00000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11005,0,Floral Park,3533.00000,9075527.40375,NY,Queens,36,081,http://www.usps.com/,0.00000,0.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
10017,0,New York,15918.00000,9794383.23999,NY,New York,36,061,http://www.usps.com/,0.00000,0.00000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
10001,0,New York,22413.00000,17794940.77271,NY,New York,36,061,http://www.usps.com/,0.00000,0.00000,44,22,0.5,22,0.5,0,0,44,100,0,0,16,0.36,0,0,3,0.07,1,0.02,21,0.48,3,0.07,0,0,44,100,2,0.05,42,0.95,0,0,0,0,44,100,20,0.45,24,0.55,0,0,44,100,10,4,10
10011,0,New York,50594.00000,18118416.84633,NY,New York,36,061,http://www.usps.com/,0.00000,0.00000,3,2,0.67,1,0.33,0,0,3,100,0,0,1,0.33,0,0,0,0,0,0,1,0.33,1,0.33,0,0,3,99,0,0,3,1,0,0,0,0,3,100,0,0,3,1,0,0,3,100,12,3,10
